Mstr Cust Acct Cd,Acs Cust Acct Cd,Customer Name,Cust Status Cd
ASCENA,ASCF2F,TWEEN BRANDS SERVICE CO,I
ASCHER,ASCHER,ASCHERL & CO.,I
EMERSN,ASCNE,ASCO NUMATICS BV,I
EMERSN,ASCO,ASCO POWER,I
EMERSN,ASCOJ,ASCO SAS,I
EMERSN,ASCOV,EMERSON - ASCO VALVE MANUFACTURING,I
EMERSN,ASCOVM,"ASCO VALVE MANUFACTURING, INC (EMERSON DIVISION)",I
EMERSN,ASCPD,ASCO NUMATICS SP.Z O.O.,I
EMERSN,ASCSHA,"ASCO VALVE (SHANGHAI)CO.,LTD.",I
EMERSN,ASCUK,ASCO NUMATICS UK,I
ASERSA,ASERSA,C/O ASERSA DE C.V.,I
ASG,ASG,ASI-SCHUH GMBH,I
RMAID,ASHLAN,ASHLAND HARDWARE SYSTEMS,I
ASHLEY,ASHLEY,NEW ASHLEY STEWART INC,I
PHB,ASHLND,"ASHLAND HARDWARE, LLC",I
ASHPAC,ASHPAC,ASHTON PACKAGING C/O MIM MEDICAL,I
AEBV,ASK,ASICS SCANDINAVIA,I
DELL,ASKEY,ASKEY COMPUTER CORP.,I
ASLG,ASLG,ANZENBERGER SPEDITION LOGISTIK GMBH,I
EMERSN,ASNDE,ASCO NUMATICS GMBH,I
ASO,ASO,ASO EUROPE BV,I
DELL,ASPOW,ASUSPOWER CORPORATION,I
DEMO,ASRE,SPORT RETAIL LIMITADA S.A.,A
RMAID,ASSIT,APL LOGISTICS O/B SHIPPING SERVICES ITALIA S.R.L.,I
EMERSN,ASTAM,ASTEC AMERICA INC,I
ASTDEL,ASTDEL,DELL PRODUCTS EUROPE-INACTIVE PER ERIK PATRUNKY,I
ASTE,ASTE,COMERCIAL ASTE DE IMPORTACAO LTDA,I
EMERSN,ASTEC,ASTEC AMERICA INC,I
DELL,ASTEK,ASUSTEK C/O DELL ASIA PACIFIC,I
EMERSN,ASTPC,ASTEC INTERNATIONAL LIMITED- CHINA,I
EMERSN,ASTPH,"ASTEC POWER PHILIPPINES, INC",I
ASUCOM,ASUCOM,ASUSTEK COMPUTER INC,I
DELL,ASUSPO,ASUSPOWER CORPORATION,I
ASWSA,ASWSA,"AMERICAN SPORTSWEAR, S.A.",A
